50433	301
10022	233
10373	956
10045	420
10301	547
10231	95
50019	9
10302	799
50122	615
10313	961
50129	738
10148	763
10280	971
50475	721
10141	800
10445	542
50469	460
50213	503
50295	311
50182	404
10147	44
50104	106
10113	302
10457	352
10124	625
50407	451
10048	168
50088	769
50467	584
50428	528
50111	875
50313	999
10138	378
10478	181
50343	937
10202	261
50390	429
50079	290
10317	229
50140	600
50460	48
10286	936
50284	910
50430	498
50395	885
10438	544
10105	653
10244	205
50477	932
10424	151
10122	667
10161	356
50123	314
50211	898
10282	125
50167	354
50493	378
50113	211
10218	730
50176	480
10407	609
50471	924
50473	306
50383	450
50396	889
50344	960
10212	325
10410	725
50164	849
10423	451
10005	215
10396	304
50188	559
50118	64
50208	715
50134	986
10163	643
50046	193
10287	259
50206	549
50255	791
50342	390
50139	665
50187	657
50372	701
10395	971
50503	841
50375	635
50153	803
50271	894
50099	746
50402	614
50147	428
10225	739
10345	84
10146	475
10391	841
50442	74
10070	422
50152	643
10401	384
50143	110
10143	392
50002	895
10250	796
10404	829
50038	89
50057	331
10405	239
50156	624
10198	986
10343	939
50171	680
50451	774
10191	24
10252	891
50463	971
10107	68
50055	405
50214	577
50254	556
10442	63
10467	163
10142	960
50202	344
10028	266
50478	39
10121	577
50087	924
50461	725
10481	481
50310	276
50400	602
10352	239
50347	786
10350	552
50289	123
10234	876
50074	258
50180	190
50472	67
50275	616
50276	484
10210	666
10455	919
10464	330
50062	167
50325	533
50157	782
10139	601
10249	780
10331	158
50205	961
50393	469
10020	722
10158	925
10166	500
10420	424
50148	173
50307	683
50315	916
50086	177
10179	330
10355	647
10011	792
10392	822
50453	811
10297	578
50481	733
10259	406
10482	996
50133	773
10228	425
10344	834
10348	494
50026	616
50174	515
50499	284
10307	622
10057	28
50320	651
50507	297
10337	970
50269	116
50084	133
10439	261
10458	939
10415	249
10109	607
10126	987
10150	437
10340	975
50286	242
10372	453
10180	695
10453	636
50068	906
10466	183
10091	882
10437	512
10268	812
10266	998
10221	673
10335	67
50496	425
10299	788
50126	596
10043	543
10479	888
50361	39
50421	18
50338	607
10172	690
50373	951
10237	363
50201	946
10416	909
50119	858
50350	899
50103	592
10230	45
10294	638
50128	284
10246	710
10443	725
50450	477
10229	929
50225	910
10042	373
10194	544
50476	659
50443	170
10356	968
10459	936
50489	200
50497	341
50360	793
10169	116
50437	850
10446	317
10062	447
10034	683
10272	775
50424	764
50446	243
10078	721
50384	670
10013	849
50004	407
10047	69
10276	549
10347	611
50092	15
10321	425
10413	182
50159	652
50102	881
50458	777
10186	512
10238	201
10116	682
10425	678
10314	591
10002	764
50412	333
10133	104
50207	912
50190	297
10320	657
50484	346
50480	999
10419	91
10157	366
50168	242
10358	254
