776	411	81135
516	66	57706
7998	63	7123
1892	770	22758
172	77	78310
9589	2481	81163
3053	151	13253
2494	1385	24243
5848	2079	53230
8815	2610	58964
3311	936	52395
4687	759	60897
4214	1771	26225
6622	282	5373
7611	2941	26480
1333	406	41900
5590	2195	23093
7310	2532	69097
2881	869	65188
5891	351	28953
5461	1	52504
3182	1002	37302
3956	389	15508
5504	678	44022
9331	703	20469
2967	1455	59056
3354	180	11303
774	384	47830
2107	1220	44402
3483	1144	77228
4386	115	22588
9461	3958	6046
9116	4552	77050
4472	869	78556
6837	3238	24949
516	439	48907
4902	1763	34112
8987	472	77791
5977	168	33602
6579	3140	51157
3827	1483	11543
9847	3875	50893
1763	685	7721
9933	4915	67394
6751	261	82916
3784	1753	79607
7009	3206	20251
5418	1484	49378
3139	40	53825
6665	6568	3606
3526	307	2649
6149	1079	14954
7998	0	46183
817	251	43941
7611	1407	10051
8041	132	27598
301	150	52479
3698	745	53661
5719	275	44443
5504	992	66505
3268	142	15192
8428	2744	86628
7353	2428	52799
4773	3387	79580
258	87	16557
6579	436	20107
8901	200	62615
8342	949	72644
6364	737	31630
1376	159	57305
8342	5369	55032
4343	596	36438
6751	1845	6320
3956	1723	32218
5332	723	31080
1290	133	8503
7482	2958	45303
215	200	79964
1591	666	65884
8686	1753	71451
6923	2632	59023
9417	286	25013
6579	3120	11598
4730	1867	14921
9632	435	9407
4515	254	42219
3354	1126	72936
4601	942	79009
473	48	17733
1333	243	72167
6837	2376	16560
9417	789	47278
1462	440	1875
86	28	61390
5117	283	22129
4988	2259	35287
6579	2062	52489
3827	695	75140
1247	13	43610
7439	704	76402
8686	1819	31039
6278	763	88601
903	389	41570
4558	1689	38448
6321	1746	10359
9331	5803	69327
5719	2605	73430
8987	4158	82980
258	83	32089
8815	4291	1707
688	122	19920
172	2	34864
4343	123	67670
258	105	64956
5074	474	85718
8256	952	62006
3397	1647	51691
1548	525	65357
5848	2635	57090
215	103	6262
3096	1440	56981
3096	898	81428
7826	805	19915
6880	69	27723
1849	432	76275
4171	1669	19703
2021	1014	70826
1677	120	11105
86	20	49442
3698	1841	6572
4644	1094	45766
8299	2785	31058
